kode_uker,nama_uker
1,KC Ambon
2,KC Bagan Siapi Api
3,KC Banjarmasin
4,KC Banjarnegara
5,KC Bandung Aa
6,KC Bangkalan
7,KC Banyuwangi
8,KC Baturaja
9,KC Blitar
10,KC Blora
11,KC Bojonegoro
12,KC Bogor
13,KC Bondowoso
14,KC Brebes
15,KC Bukittinggi
16,KC Demak
17,KC Denpasar Gajah Mada
18,KC Jakarta Tanah Abang
19,KC Jakarta Kota
20,KC Jambi
21,KC Jember
22,KC Jepara
23,KC Jombang
24,KC Ende
25,KC Garut
26,KC Gresik
27,KC Gorontalo
28,KC Indramayu
29,KC Yogyakarta Cik Ditiro
30,KC Kayu Agung
31,KC Kandangan
32,KC Kebumen
33,KC Kediri
34,KC Kendal
35,KC Klaten
36,KC Kotamobagu
38,KC Kudus
39,KC Kupang
40,KC Lahat
41,KC Lamongan
44,KC Lumajang
45,KC Madiun
46,KC Majalengka
47,KC Majene
48,KC Magelang
49,KC Magetan
50,KC Makassar Ahmad Yani
51,KC Malang Kawi
52,KC Mataram
53,KC Medan Putri Hijau
54,KC Manado
55,KC Mojokerto
56,KC Nganjuk
57,KC Ngawi
58,KC Padang
59,KC Palembang A. Rivai
60,KC Palu
61,KC Pamekasan
62,KC Pandeglang
63,KC Pangkal Pinang
64,KC Pare-Pare
65,KC Pasuruan
66,KC Pati
67,KC Pacitan
68,KC Pekalongan
69,KC Pemalang
70,KC Ponorogo
71,KC Pontianak
72,KC Poso
73,KC Probolinggo
74,KC Purbalingga
75,KC Purwakarta
76,KC Purwodadi
77,KC Purwokerto
78,KC Purworejo
79,KC Raba Bima
80,KC Rangkasbitung
81,KC Salatiga
82,KC Samarinda 1
83,KC Semarang Patimura
84,KC Serang
85,KC Sibolga
86,KC Sidoarjo
88,KC Singaraja
89,KC Singkawang
90,KC Situbondo
91,KC Solok
92,KC Sukabumi
93,KC Sumbawa Besar
94,KC Sumedang
95,KC Sumenep
96,KC Surabaya Kaliasin
97,KC Solo - Sudirman
98,KC Tanjung Karang
99,KC Tarutung
100,KC Tasikmalaya
101,KC Tegal
102,KC Temanggung
103,KC Ternate
104,KC Ciamis
105,KC Cianjur
106,KC Cilacap
107,KC Cirebon Kartini
108,KC Curup
109,KC Tuban
110,KC Tulungagung
111,KC Watampone
112,KC Wonosobo
113,KC Pematang Siantar
114,KC Semarapura
115,KC Bengkulu
116,KC Karawang
117,KC Sungai Penuh
118,KC Watansopeng
119,KC Maumere
120,KC Jakarta Tangerang
121,KC Balikpapan
122,KC Jakarta Jatinegara
123,KC Subang
124,KC Tabanan
125,KC Negara
126,KC Batulicin
127,KC Kotabaru
128,KC Muara Enim
129,KC Lubuk Linggau
130,KC Metro
131,KC Tanjung Pandan
132,KC Majalaya
133,KC Kuningan
134,KC Gombong
135,KC Padang Sidempuan
136,KC Kutoarjo
137,KC Cimahi
138,KC Pagar Alam
139,KC Bekasi
140,KC Sragen
141,KC Waingapu
142,KC Rembang
143,KC Barabai
144,KC Kabanjahe
146,Kanwil Surabaya
147,KC Amuntai
148,KC Sampang
149,KC Karanganyar
150,KC Manna
151,KC Ajibarang
152,KC Wates
153,KC Wonosari
154,KC Tanjung Balai
